,en,ru
Ultimate: Mental Spiral,Ultimate: Mental Spiral,Ультимейт: Ментальная Спираль
Mental Spiral,Mental Spiral,Ментальная Спираль
Blue_Mental_Spiral,Mental Spiral,Ментальная Спираль
"Don't you feel tired of it all?","Don't you feel tired of it all?","Ты не ощущаешь усталости от всего?"
BLUE_CYCLE_OF_SADNESS_1,"ENR +10 for 1 turn.\nDeal blue damage(120% ATK) to one enemy. Each odd activation of this skill reduces all enemies EN by 3 and each even activation of this skill inflicts Fragile(20%) on all enemies for 2 turns.","ENR +10 на 1 ход.\nНанесите синий урон(120% ATK) одному врагу. Каждая нечетная активация данной способности уменьшает EN всех врагов на 3, и каждая нечетная активация данной способности накладывает Уязвимость(20%) на всех врагов на 2 хода."
BLUE_CYCLE_OF_SADNESS_2,"ENR +15 for 1 turn.\nDeal blue damage(140% ATK) to one enemy. Each odd activation of this skill reduces all enemies EN by 4 and each even activation of this skill inflicts Fragile(25%) on all enemies for 2 turns.","ENR +15 на 1 ход.\nНанесите синий урон(140% ATK) одному врагу. Каждая нечетная активация данной способности уменьшает EN всех врагов на 4, и каждая нечетная активация данной способности накладывает Уязвимость(25%) на всех врагов на 2 хода."
BLUE_CYCLE_OF_SADNESS_3,"ENR +20 for 2 turns.\nDeal blue damage(160% ATK) to one enemy. Each odd activation of this skill reduces all enemies EN by 5 and each even activation of this skill inflicts Fragile(30%) on all enemies for 2 turns.","ENR +20 на 2 хода.\nНанесите синий урон(160% ATK) одному врагу. Каждая нечетная активация данной способности уменьшает EN всех врагов на 5, и каждая нечетная активация данной способности накладывает Уязвимость(30%) на всех врагов на 2 хода."
BLUE_CYCLE_OF_SADNESS_4,"ENR +30 for 2 turns.\nDeal blue damage(180% ATK) to one enemy. Each odd activation of this skill reduces all enemies EN by 6 and each even activation of this skill inflicts Fragile(35%) on all enemies for 2 turns.","ENR +30 на 2 хода.\nНанесите синий урон(180% ATK) одному врагу. Каждая нечетная активация данной способности уменьшает EN всех врагов на 6, и каждая нечетная активация данной способности накладывает Уязвимость(35%) на всех врагов на 2 хода."
BLUE_CYCLE_OF_SADNESS_5,"ENR +40 for 3 turns.\nDeal blue damage(200% ATK) to one enemy. Each odd activation of this skill reduces all enemies EN by 7 and each even activation of this skill inflicts Fragile(40%) on all enemies for 2 turns.","ENR +40 на 3 хода.\nНанесите синий урон(200% ATK) одному врагу. Каждая нечетная активация данной способности уменьшает EN всех врагов на 7, и каждая нечетная активация данной способности накладывает Уязвимость(40%) на всех врагов на 2 хода."
Ultimate: Cycle Of Sadness,Ultimate: Cycle Of Sadness,Ультимейт: Круговорот Печали
Cycle Of Sadness,Cycle Of Sadness,Круговорот Печали
Blue_Cycle_Of_Sadness,Cycle Of Sadness,Круговорот Печали
"The way I live but I can't change...","The way I live but I can't change...","Мой стиль жизни, что не могу сменить..."
PURPLE_MIASMA_1,"On hit deal purple damage(100% ATK) to one enemy and inflict Miasma(10) for 2 turns.","При попадании нанесите фиолетовый урон(100% ATK) одному врагу и наложите Миазму(10) на 2 хода."
PURPLE_MIASMA_2,"On hit deal purple damage(120% ATK) to one enemy and inflict Miasma(15) for 2 turns.","При попадании нанесите фиолетовый урон(120% ATK) одному врагу и наложите Миазму(15) на 2 хода."
PURPLE_MIASMA_3,"On hit deal purple damage(140% ATK) to one enemy and inflict Miasma(20) for 3 turns.","При попадании нанесите фиолетовый урон(140% ATK) одному врагу и наложите Миазму(20) на 3 хода."
PURPLE_MIASMA_4,"On hit deal purple damage(160% ATK) to one enemy and inflict Miasma(25) for 3 turns.","При попадании нанесите фиолетовый урон(160% ATK) одному врагу и наложите Миазму(25) на 3 хода."
PURPLE_MIASMA_5,"On hit deal purple damage(200% ATK) to one enemy and inflict Miasma(30) for 4 turns.","При попадании нанесите фиолетовый урон(200% ATK) одному врагу и наложите Миазму(30) на 4 хода."
Miasma,Miasma,Миазма
Purple_Miasma,Miasma,Миазма
PURPLE_CURSE_1,"Remove all buffs from all enemies and infcit them with Miasma(15) for 3 turns.","Снимите все баффы со всех противников и наложите на них Миазму(15) на 3 хода."
PURPLE_CURSE_2,"Remove all buffs from all enemies and infcit them with Miasma(20) for 3 turns.","Снимите все баффы со всех противников и наложите на них Миазму(20) на 3 хода."
PURPLE_CURSE_3,"Remove all buffs from all enemies and infcit them with Miasma(25) for 4 turns.","Снимите все баффы со всех противников и наложите на них Миазму(25) на 4 хода."
PURPLE_CURSE_4,"Remove all buffs from all enemies and infcit them with Miasma(30) for 4 turns.","Снимите все баффы со всех противников и наложите на них Миазму(30) на 4 хода."
PURPLE_CURSE_5,"Remove all buffs from all enemies and infcit them with Miasma(40) for 5 turns.","Снимите все баффы со всех противников и наложите на них Миазму(40) на 5 хода."
Curse,Curse,Проклятие
Purple_Curse,Curse,Проклятие
PURPLE_WEAK_BODY_1,"On hit deal purple damage(150% ATK) to one enemy and inflict Aches(20) for 2 turns.","При попадании нанесите фиолетовый урон(150% ATK) одному врагу и наложите Ломоту(20) на 2 хода."
PURPLE_WEAK_BODY_2,"On hit deal purple damage(200% ATK) to one enemy and inflict Aches(30) for 2 turns.","При попадании нанесите фиолетовый урон(200% ATK) одному врагу и наложите Ломоту(30) на 2 хода."
PURPLE_WEAK_BODY_3,"On hit deal purple damage(250% ATK) to one enemy and inflict Aches(40) for 3 turns.","При попадании нанесите фиолетовый урон(250% ATK) одному врагу и наложите Ломоту(40) на 3 хода."
PURPLE_WEAK_BODY_4,"On hit deal purple damage(300% ATK) to one enemy and inflict Aches(50) for 3 turns.","При попадании нанесите фиолетовый урон(300% ATK) одному врагу и наложите Ломоту(50) на 3 хода."
PURPLE_WEAK_BODY_5,"On hit deal purple damage(350% ATK) to one enemy and inflict Aches(60) for 4 turns.","При попадании нанесите фиолетовый урон(350% ATK) одному врагу и наложите Ломоту(60) на 4 хода."
Weak Body,Weak Body,Слабое Тело
Purple_Weak_Body,Weak Body,Слабое Тело
PURPLE_SWEET_DREAMS_1,"On hit deal purple damage(150% ATK) to one enemy and inflict Sleep for 2 turns. When the Sleep ends, target takes the same amount of purple damage again.","При попадании нанесите фиолетовый урон(150% ATK) одному врагу и наложите Сон на 2 хода. Когда Сон оканчивается, цель получает то же самое число фиолетового урона."
PURPLE_SWEET_DREAMS_2,"On hit deal purple damage(200% ATK) to one enemy and inflict Sleep for 2 turns. When the Sleep ends, target takes the same amount of purple damage again.","При попадании нанесите фиолетовый урон(200% ATK) одному врагу и наложите Сон на 2 хода. Когда Сон оканчивается, цель получает то же самое число фиолетового урона."
PURPLE_SWEET_DREAMS_3,"On hit deal purple damage(250% ATK) to one enemy and inflict Sleep for 2 turns. When the Sleep ends, target takes the same amount of purple damage again.","При попадании нанесите фиолетовый урон(250% ATK) одному врагу и наложите Сон на 2 хода. Когда Сон оканчивается, цель получает то же самое число фиолетового урона."
PURPLE_SWEET_DREAMS_4,"On hit deal purple damage(300% ATK) to one enemy and inflict Sleep for 2 turns. When the Sleep ends, target takes the same amount of purple damage again.","При попадании нанесите фиолетовый урон(300% ATK) одному врагу и наложите Сон на 2 хода. Когда Сон оканчивается, цель получает то же самое число фиолетового урона."
PURPLE_SWEET_DREAMS_5,"On hit deal purple damage(350% ATK) to one enemy and inflict Sleep for 2 turns. When the Sleep ends, target takes the same amount of purple damage again.","При попадании нанесите фиолетовый урон(350% ATK) одному врагу и наложите Сон на 2 хода. Когда Сон оканчивается, цель получает то же самое число фиолетового урона."
Sweet Dreams,Sweet Dreams,Сладкие Грезы
Purple_Sweet_Dreams,Sweet Dreams,Сладкие Грезы
PURPLE_OCTOPUS_INK_1,"Deal purple damage(80% ATK) to all enemies and inflict Blindness(10) on them for 2 turns.","Нанесите фиолетовый урон(80% ATK) всем врагам и наложите Слепоту(10) на них на 2 хода."
PURPLE_OCTOPUS_INK_2,"Deal purple damage(100% ATK) to all enemies and inflict Blindness(15) on them for 2 turns.","Нанесите фиолетовый урон(100% ATK) всем врагам и наложите Слепоту(15) на них на 2 хода."
PURPLE_OCTOPUS_INK_3,"Deal purple damage(110% ATK) to all enemies and inflict Blindness(20) on them for 3 turns.","Нанесите фиолетовый урон(110% ATK) всем врагам и наложите Слепоту(20) на них на 3 хода."
PURPLE_OCTOPUS_INK_4,"Deal purple damage(120% ATK) to all enemies and inflict Blindness(25) on them for 3 turns.","Нанесите фиолетовый урон(120% ATK) всем врагам и наложите Слепоту(25) на них на 3 хода."
PURPLE_OCTOPUS_INK_5,"Deal purple damage(140% ATK) to all enemies and inflict Blindness(30) on them for 4 turns.","Нанесите фиолетовый урон(140% ATK) всем врагам и наложите Слепоту(30) на них на 4 хода."
Octopus Ink,Octopus Ink,Осминожьи Чернила
Purple_Octopus_Ink,Octopus Ink,Осминожьи Чернила
PURPLE_ONE_FOOT_IN_THE_GRAVE_1,"When a target has more than 2 different debuffs it takes 10% more damage for each debuff it has.","Когда на цели больше 2 разных дебаффа, цель получает на 10% больше урона за каждый дебафф."
PURPLE_ONE_FOOT_IN_THE_GRAVE_2,"When a target has more than 2 different debuffs it takes 15% more damage for each debuff it has.","Когда на цели больше 2 разных дебаффа, цель получает на 15% больше урона за каждый дебафф."
PURPLE_ONE_FOOT_IN_THE_GRAVE_3,"When a target has more than 2 different debuffs it takes 20% more damage for each debuff it has.","Когда на цели больше 2 разных дебаффа, цель получает на 20% больше урона за каждый дебафф."
PURPLE_ONE_FOOT_IN_THE_GRAVE_4,"When a target has more than 2 different debuffs it takes 25% more damage for each debuff it has.","Когда на цели больше 2 разных дебаффа, цель получает на 25% больше урона за каждый дебафф."
PURPLE_ONE_FOOT_IN_THE_GRAVE_5,"When a target has more than 2 different debuffs it takes 30% more damage for each debuff it has.","Когда на цели больше 2 разных дебаффа, цель получает на 30% больше урона за каждый дебафф."
Passive: One Foot In The Grave,Passive: One Foot In The Grave,Пассивный Навык: Одной Ногой в Могиле
One Foot In The Grave,One Foot In The Grave,Одной Ногой в Могиле
Purple_One_Foot_In_The_Grave,One Foot In The Grave,Одной Ногой в Могиле
PURPLE_UNFAIR_GAME_1,"When attacking sleeping enemies, they take additional purple damage(50% ATK).","При атаке спящих врагов, они получают дополнительный фиолетовый урон(50% ATK)."
PURPLE_UNFAIR_GAME_2,"When attacking sleeping enemies, they take additional purple damage(60% ATK).","При атаке спящих врагов, они получают дополнительный фиолетовый урон(60% ATK)."
PURPLE_UNFAIR_GAME_3,"When attacking sleeping enemies, they take additional purple damage(80% ATK).","При атаке спящих врагов, они получают дополнительный фиолетовый урон(80% ATK)."
PURPLE_UNFAIR_GAME_4,"When attacking sleeping enemies, they take additional purple damage(90% ATK).","При атаке спящих врагов, они получают дополнительный фиолетовый урон(90% ATK)."
PURPLE_UNFAIR_GAME_5,"When attacking sleeping enemies, they take additional purple damage(100% ATK).","При атаке спящих врагов, они получают дополнительный фиолетовый урон(100% ATK)."
Passive: Unfair Game,Passive: Unfair Game,Пассивный Навык: Нечестная Игра
Unfair Game,Unfair Game,Нечестная Игра
Purple_Unfair_Game,Unfair Game,Нечестная Игра
PURPLE_PANDORAS_BOX_1,"ATK and RES +8 for 3 turns.\nDeal purple damage(100% ATK) to all enemies and inflict Miasma(20) and randomly chosen debuff(Fragile(20%), Blindness(20%), Closure(10) or Silence) on them for 3 turns.","ATK и RES +8 на 3 хода.\nНанесите фиолетовый урон(100% ATK) всем врагам и наложите Миазму(20) и случайно выбранный дебафф(Уязвимость(20%),Слепота(20%),Замыкание(2) или Молчание)на них на 3 хода."
PURPLE_PANDORAS_BOX_2,"ATK and RES +10 for 3 turns.\nDeal purple damage(130% ATK) to all enemies and inflict Miasma(30) and randomly chosen debuff(Fragile(30%), Blindness(30%), Closure(4) or Silence) on them for 3 turns.","ATK и RES +10 на 3 хода.\nНанесите фиолетовый урон(130% ATK) всем врагам и наложите Миазму(30) и случайно выбранный дебафф(Уязвимость(30%),Слепота(30%),Замыкание(4) или Молчание)на них на 3 хода."
PURPLE_PANDORAS_BOX_3,"ATK and RES +13 for 4 turns.\nDeal purple damage(160% ATK) to all enemies and inflict Miasma(40) and randomly chosen debuff(Fragile(40%), Blindness(40%), Closure(6) or Silence) on them for 4 turns.","ATK и RES +13 на 4 хода.\nНанесите фиолетовый урон(160% ATK) всем врагам и наложите Миазму(40) и случайно выбранный дебафф(Уязвимость(40%),Слепота(40%),Замыкание(6) или Молчание)на них на 4 хода."
PURPLE_PANDORAS_BOX_4,"ATK and RES +17 for 4 turns.\nDeal purple damage(190% ATK) to all enemies and inflict Miasma(50) and randomly chosen debuff(Fragile(50%), Blindness(50%), Closure(8) or Silence) on them for 4 turns.","ATK и RES +17 на 4 хода.\nНанесите фиолетовый урон(190% ATK) всем врагам и наложите Миазму(50) и случайно выбранный дебафф(Уязвимость(50%),Слепота(50%),Замыкание(8) или Молчание)на них на 4 хода."
PURPLE_PANDORAS_BOX_5,"ATK and RES +22 for 5 turns.\nDeal purple damage(220% ATK) to all enemies and inflict Miasma(60) and randomly chosen debuff(Fragile(60%), Blindness(60%), Closure(10) or Silence) on them for 5 turns.","ATK и RES +22 на 5 ходов.\nНанесите фиолетовый урон(220% ATK) всем врагам и наложите Миазму(60) и случайно выбранный дебафф(Уязвимость(60%),Слепота(60%),Замыкание(10) или Молчание)на них на 5 ходов."
Ultimate: Pandora's Box,Ultimate: Pandora's Box,Ультимейт: Ящик Пандоры
Pandora's Box,Pandora's Box,Ящик Пандоры
Purple_Pandoras_Box,Pandora's Box,Ящик Пандоры
"One little misfortune is only a beginning...","One little misfortune is only a beginning...","Одна мелкая неудача это только начало..."
PURPLE_GROWING_FRACTURE_1,"RES +8 for 3 turns.\nDeal purple damage(200% ATK) to one enemy and inflict Fragile(20%) for 2 turns. At the start of each turn target's Fragile increases by 6%(to the max of 80%).","RES +8 на 3 хода.\nНанесите фиолетовый урон(200% АТК) одному врагу и наложите Уязвимость(20%) на 2 хода. В начале каждого хода цели ее Уязвимость увеличивается на 6%(до максимума в 80%)."
PURPLE_GROWING_FRACTURE_2,"RES +10 for 3 turns.\nDeal purple damage(200% ATK) to one enemy and inflict Fragile(30%) for 2 turns. At the start of each turn target's Fragile increases by 7%(to the max of 80%).","RES +10 на 3 хода.\nНанесите фиолетовый урон(200% АТК) одному врагу и наложите Уязвимость(30%) на 2 хода. В начале каждого хода цели ее Уязвимость увеличивается на 7%(до максимума в 80%)."
PURPLE_GROWING_FRACTURE_3,"RES +13 for 4 turns.\nDeal purple damage(200% ATK) to one enemy and inflict Fragile(40%) for 3 turns. At the start of each turn target's Fragile increases by 8%(to the max of 80%).","RES +13 на 4 хода.\nНанесите фиолетовый урон(200% АТК) одному врагу и наложите Уязвимость(40%) на 3 хода. В начале каждого хода цели ее Уязвимость увеличивается на 8%(до максимума в 80%)."
PURPLE_GROWING_FRACTURE_4,"RES +17 for 4 turns.\nDeal purple damage(200% ATK) to one enemy and inflict Fragile(50%) for 3 turns. At the start of each turn target's Fragile increases by 9%(to the max of 80%).","RES +17 на 4 хода.\nНанесите фиолетовый урон(200% АТК) одному врагу и наложите Уязвимость(50%) на 3 хода. В начале каждого хода цели ее Уязвимость увеличивается на 9%(до максимума в 80%)."
PURPLE_GROWING_FRACTURE_5,"RES +22 for 5 turns.\nDeal purple damage(200% ATK) to one enemy and inflict Fragile(60%) for 4 turns. At the start of each turn target's Fragile increases by 10%(to the max of 80%).","RES +22 на 5 ходов.\nНанесите фиолетовый урон(200% АТК) одному врагу и наложите Уязвимость(60%) на 4 хода. В начале каждого хода цели ее Уязвимость увеличивается на 10%(до максимума в 80%)."
Ultimate: Growing Fracture,Ultimate: Growing Fracture,Ультимейт: Растущая Трещина
Growing Fracture,Growing Fracture,Растущая Трещина
Purple_Growing_Fracture,Growing Fracture,Растущая Трещина
"From now on your wounds will only get bigger","From now on your wounds will only get bigger","С сего момента твои раны будут только расти"
WHITE_COLORFUL_SPLASH_1,"Hit enemies 5 times, each time targeting a random enemy and dealing damage(60% ATK) or a random type.","Атакуйте врагов 5 раз, каждый раз атакуя случайного врага и нанося урон(60% АТК) случайного типа."
WHITE_COLORFUL_SPLASH_2,"Hit enemies 6 times, each time targeting a random enemy and dealing damage(70% ATK) or a random type.","Атакуйте врагов 6 раз, каждый раз атакуя случайного врага и нанося урон(70% АТК) случайного типа."
WHITE_COLORFUL_SPLASH_3,"Hit enemies 7 times, each time targeting a random enemy and dealing damage(80% ATK) or a random type.","Атакуйте врагов 7 раз, каждый раз атакуя случайного врага и нанося урон(80% АТК) случайного типа."
WHITE_COLORFUL_SPLASH_4,"Hit enemies 8 times, each time targeting a random enemy and dealing damage(90% ATK) or a random type.","Атакуйте врагов 8 раз, каждый раз атакуя случайного врага и нанося урон(90% АТК) случайного типа."
WHITE_COLORFUL_SPLASH_5,"Hit enemies 9 times, each time targeting a random enemy and dealing damage(100% ATK) or a random type.","Атакуйте врагов 9 раз, каждый раз атакуя случайного врага и нанося урон(100% АТК) случайного типа."
Colorful Splash,Colorful Splash,Всплеск Красок
White_Colorful_Splash,Colorful Splash,Всплеск Красок
WHITE_PAINFUL_BLOOM_1,"Burst Miasma and Spread on all enemies. For each 10% of Miasma and Spread on enemy deal 5% ATK damage to the target. Damage dealt if purple if percantage of Miasma is bigger and green otherwise.","Ускорьте Миазму и Разрастание на всех врагах. За каждые 10% Миазмы и Разрастания, нанесите 5% урона цели. Тип нанесенного урона фиолетовый, если процент Миазмы больше, чем Разрастания, и зеленый в ином случае."
WHITE_PAINFUL_BLOOM_2,"Burst Miasma and Spread on all enemies. For each 10% of Miasma and Spread on enemy deal 7% ATK damage to the target. Damage dealt if purple if percantage of Miasma is bigger and green otherwise.","Ускорьте Миазму и Разрастание на всех врагах. За каждые 10% Миазмы и Разрастания, нанесите 7% урона цели. Тип нанесенного урона фиолетовый, если процент Миазмы больше, чем Разрастания, и зеленый в ином случае."
WHITE_PAINFUL_BLOOM_3,"Burst Miasma and Spread on all enemies. For each 10% of Miasma and Spread on enemy deal 10% ATK damage to the target. Damage dealt if purple if percantage of Miasma is bigger and green otherwise.","Ускорьте Миазму и Разрастание на всех врагах. За каждые 10% Миазмы и Разрастания, нанесите 10% урона цели. Тип нанесенного урона фиолетовый, если процент Миазмы больше, чем Разрастания, и зеленый в ином случае."
WHITE_PAINFUL_BLOOM_4,"Burst Miasma and Spread on all enemies. For each 10% of Miasma and Spread on enemy deal 14% ATK damage to the target. Damage dealt if purple if percantage of Miasma is bigger and green otherwise.","Ускорьте Миазму и Разрастание на всех врагах. За каждые 10% Миазмы и Разрастания, нанесите 14% урона цели. Тип нанесенного урона фиолетовый, если процент Миазмы больше, чем Разрастания, и зеленый в ином случае."
WHITE_PAINFUL_BLOOM_5,"Burst Miasma and Spread on all enemies. For each 10% of Miasma and Spread on enemy deal 20% ATK damage to the target. Damage dealt if purple if percantage of Miasma is bigger and green otherwise.","Ускорьте Миазму и Разрастание на всех врагах. За каждые 10% Миазмы и Разрастания, нанесите 20% урона цели. Тип нанесенного урона фиолетовый, если процент Миазмы больше, чем Разрастания, и зеленый в ином случае."
Painful Bloom,Painful Bloom,Болезненное Цветение
White_Painful_Bloom,Painful Bloom,Болезненное Цветение
WHITE_ABSOLUTE_DEFENSE_1,"Gain 1 Block.","Получите 1 Блок."
WHITE_ABSOLUTE_DEFENSE_2,"Gain 1 Block.","Получите 1 Блок."
WHITE_ABSOLUTE_DEFENSE_3,"Gain 2 Blocks.","Получите 2 Блока."
WHITE_ABSOLUTE_DEFENSE_4,"Gain 3 Blocks.","Получите 3 Блока."
WHITE_ABSOLUTE_DEFENSE_5,"Gain 4 Blocks.","Получите 4 Блока."
Absolute Defense,Absolute Defense,Абсолютная Защита
White_Absolute_Defense,Absolute Defense,Абсолютная Защита
WHITE_EMPTY_WELL_1,"Get rid of all debuffs and increase 1 random stat by 5 for 3 turns.\nThis skill cannot be blocked.","Снимите с себя все дебаффы и случайным образом увеличьте 1 стат на 5 на 3 хода.\nДанная способность не может быть заблокирована."
WHITE_EMPTY_WELL_2,"Get rid of all debuffs and increase 1 random stat by 7 for 3 turns.\nThis skill cannot be blocked.","Снимите с себя все дебаффы и случайным образом увеличьте 1 стат на 7 на 3 хода.\nДанная способность не может быть заблокирована."
WHITE_EMPTY_WELL_3,"Get rid of all debuffs and increase 2 random stats by 10 for 4 turns.\nThis skill cannot be blocked.","Снимите с себя все дебаффы и случайным образом увеличьте 2 стата на 10 на 4 хода.\nДанная способность не может быть заблокирована."
WHITE_EMPTY_WELL_4,"Get rid of all debuffs and increase 2 random stats by 15 for 4 turns.\nThis skill cannot be blocked.","Снимите с себя все дебаффы и случайным образом увеличьте 2 стата на 15 на 4 хода.\nДанная способность не может быть заблокирована."
WHITE_EMPTY_WELL_5,"Get rid of all debuffs and increase 3 random stats by 20 for 5 turns.\nThis skill cannot be blocked.","Снимите с себя все дебаффы и случайным образом увеличьте 3 стата на 20 на 5 ходов.\nДанная способность не может быть заблокирована."
Empty Well,Empty Well,Пустой Колодец
White_Empty_Well,Empty Well,Пустой Колодец
WHITE_CHANGING_MOOD_1,"At the start of each turn increase damage dealt by a random color by 10%.","В начале каждого своего хода увеличьте урон, наносимый случайным цветом, на 10%."
WHITE_CHANGING_MOOD_2,"At the start of each turn increase damage dealt by a random color by 15%.","В начале каждого своего хода увеличьте урон, наносимый случайным цветом, на 15%."
WHITE_CHANGING_MOOD_3,"At the start of each turn increase damage dealt by a random color by 20%.","В начале каждого своего хода увеличьте урон, наносимый случайным цветом, на 20%."
WHITE_CHANGING_MOOD_4,"At the start of each turn increase damage dealt by a random color by 30%.","В начале каждого своего хода увеличьте урон, наносимый случайным цветом, на 30%."
WHITE_CHANGING_MOOD_5,"At the start of each turn increase damage dealt by a random color by 40%.","В начале каждого своего хода увеличьте урон, наносимый случайным цветом, на 40%."
Passive: Changing Mood,Passive: Changing Mood,Пассивный Навык: Переменчивое Настроение
Changing Mood,Changing Mood,Переменчивое Настроение
White_Changing_Mood,Changing Mood,Переменчивое Настроение
WHITE_ITERATIVE_PROCESS_1,"Each attack made against the same target as the last increases total damage dealt by 2%(stacks up to 5 times). This bonus resets when you choose another target or use mass attacks.","Каждая атака сделанная по той же цели, что прошлая, повышает общий наносимый урон на 2%(складывается до 5 раз). Данный бонус сбрасывается, когда вы атакуете другую цель или используете массовые атаки."
WHITE_ITERATIVE_PROCESS_2,"Each attack made against the same target as the last increases total damage dealt by 3%(stacks up to 5 times). This bonus resets when you choose another target or use mass attacks.","Каждая атака сделанная по той же цели, что прошлая, повышает общий наносимый урон на 3%(складывается до 5 раз). Данный бонус сбрасывается, когда вы атакуете другую цель или используете массовые атаки."
WHITE_ITERATIVE_PROCESS_3,"Each attack made against the same target as the last increases total damage dealt by 5%(stacks up to 5 times). This bonus resets when you choose another target or use mass attacks.","Каждая атака сделанная по той же цели, что прошлая, повышает общий наносимый урон на 5%(складывается до 5 раз). Данный бонус сбрасывается, когда вы атакуете другую цель или используете массовые атаки."
WHITE_ITERATIVE_PROCESS_4,"Each attack made against the same target as the last increases total damage dealt by 7%(stacks up to 5 times). This bonus resets when you choose another target or use mass attacks.","Каждая атака сделанная по той же цели, что прошлая, повышает общий наносимый урон на 7%(складывается до 5 раз). Данный бонус сбрасывается, когда вы атакуете другую цель или используете массовые атаки."
WHITE_ITERATIVE_PROCESS_5,"Each attack made against the same target as the last increases total damage dealt by 10%(stacks up to 5 times). This bonus resets when you choose another target or use mass attacks.","Каждая атака сделанная по той же цели, что прошлая, повышает общий наносимый урон на 10%(складывается до 5 раз). Данный бонус сбрасывается, когда вы атакуете другую цель или используете массовые атаки."
Passive: Iterative Process,Passive: Iterative Process,Пассивный Навык: Повторяющийся Процесс
Iterative Process,Iterative Process,Повторяющийся Процесс
White_Iterative_Process,Iterative Process,Повторяющийся Процесс
WHITE_WHITE_SILENCE_1,"ATK +6 for 3 turns.\nDeal damage(100% ATK) of random type to all enemies.","ATK +6 на 3 хода.\nНанесите урон(100% АТК) случайного цвета всем врагам."
WHITE_WHITE_SILENCE_2,"ATK +8 for 3 turns.\nDeal damage(130% ATK) of random type to all enemies.","ATK +8 на 3 хода.\nНанесите урон(130% АТК) случайного цвета всем врагам."
WHITE_WHITE_SILENCE_3,"ATK +11 for 4 turns.\nDeal damage(160% ATK) of random type to all enemies.","ATK +11 на 4 хода.\nНанесите урон(160% АТК) случайного цвета всем врагам."
WHITE_WHITE_SILENCE_4,"ATK +15 for 4 turns.\nDeal damage(190% ATK) of random type to all enemies.","ATK +15 на 4 хода.\nНанесите урон(190% АТК) случайного цвета всем врагам."
WHITE_WHITE_SILENCE_5,"ATK +20 for 5 turns.\nDeal damage(220% ATK) of random type to all enemies.","ATK +20 на 5 ходов.\nНанесите урон(220% АТК) случайного цвета всем врагам."
Ultimate: White Silence,Ultimate: White Silence,Ультимейт: Белая Тишина
White Silence,White Silence,Белая Тишина
White_White_Silence,White Silence,Белая Тишина
"Just disappear!","Just disappear!","Исчезните уже!"
WHITE_REGRESSION_1,"RES and SEN +6 for 3 turns.\nType of the damage dealt by this skill is the same as the color of the last used skill(excluding white). Deal damage(150% ATK) to one enemy and weaken the target's resistance to the color of the attack by one level down for 3 turns.","RES и SEN +6 на 3 хода.\nТип урона данной способности определяется цветом прошлой использованной способности(кроме белого). Нанесите урон(150% АТК) одному противнику и понизьте его сопротивление к цвету атаки на уровень вниз на 3 хода."
WHITE_REGRESSION_2,"RES and SEN +8 for 3 turns.\nType of the damage dealt by this skill is the same as the color of the last used skill(excluding white). Deal damage(175% ATK) to one enemy and weaken the target's resistance to the color of the attack by one level down for 3 turns.","RES и SEN +8 на 3 хода.\nТип урона данной способности определяется цветом прошлой использованной способности(кроме белого). Нанесите урон(175% АТК) одному противнику и понизьте его сопротивление к цвету атаки на уровень вниз на 3 хода."
WHITE_REGRESSION_3,"RES and SEN +11 for 4 turns.\nType of the damage dealt by this skill is the same as the color of the last used skill(excluding white). Deal damage(200% ATK) to one enemy and weaken the target's resistance to the color of the attack by one level down for 3 turns.","RES и SEN +11 на 4 хода.\nТип урона данной способности определяется цветом прошлой использованной способности(кроме белого). Нанесите урон(200% АТК) одному противнику и понизьте его сопротивление к цвету атаки на уровень вниз на 4 хода."
WHITE_REGRESSION_4,"RES and SEN +15 for 4 turns.\nType of the damage dealt by this skill is the same as the color of the last used skill(excluding white). Deal damage(225% ATK) to one enemy and weaken the target's resistance to the color of the attack by one level down for 3 turns.","RES и SEN +15 на 4 хода.\nТип урона данной способности определяется цветом прошлой использованной способности(кроме белого). Нанесите урон(225% АТК) одному противнику и понизьте его сопротивление к цвету атаки на уровень вниз на 4 хода."
WHITE_REGRESSION_5,"RES and SEN +20 for 5 turns.\nType of the damage dealt by this skill is the same as the color of the last used skill(excluding white). Deal damage(250% ATK) to one enemy and weaken the target's resistance to the color of the attack by one level down for 3 turns.","RES и SEN +20 на 5 ходов.\nТип урона данной способности определяется цветом прошлой использованной способности(кроме белого). Нанесите урон(250% АТК) одному противнику и понизьте его сопротивление к цвету атаки на уровень вниз на 5 ходов."
Ultimate: Regression,Ultimate: Regression,Ультимейт: Регрессия
Regression,Regression,Регрессия
White_Regression,Regression,Регрессия
"Return to dust!","Return to dust!","Вернитесь к праху!"
///////////////////////////DIALOGUES////////////////////////////////,.,.
EncourageText_1,"Sometimes you just have to try again. It's OK! I know eventually you'll be able to do it!","Иногда просто нужно попробовать снова и это нормально! Я знаю однажды ты сможешь сделать это!"
EncourageText_2,"It's OK to make mistakes. Get some rest and try again.","Совершать ошибки нормально. Отдохни и попробуй снова."
EncourageText_3,"Even if you couldn't finish it now, eventually you'll beat this. You got some expirience and that's what counts.","Даже если ты не смог закончить свой путь сейчас, однажды ты его преодолеешь. Ты получил опыт и это важно."
